Data/data_not_bias/ULTA.csv,Data/data_not_bias/YHOO.csv,Data/data_not_bias/ARE.csv,Data/data_not_bias/SYK.csv,Data/data_not_bias/CB.csv,Data/data_not_bias/LM.csv,Data/data_not_bias/TSN.csv,Data/data_not_bias/DTV.csv,Data/data_not_bias/FLR.csv,Data/data_not_bias/CSC.csv,Data/data_not_bias/NE.csv,Data/data_not_bias/PEP.csv,Data/data_not_bias/PEG.csv,Data/data_not_bias/LLY.csv,Data/data_not_bias/UNS.csv,Data/data_not_bias/COST.csv,Data/data_not_bias/REG.csv,Data/data_not_bias/RDC.csv,Data/data_not_bias/NWS.csv,Data/data_not_bias/LLL.csv,Data/data_not_bias/LOW.csv,Data/data_not_bias/MDLZ.csv,Data/data_not_bias/NBR.csv,Data/data_not_bias/FMC.csv,Data/data_not_bias/HCP.csv,Data/data_not_bias/XEL.csv,Data/data_not_bias/AIZ.csv,Data/data_not_bias/PDCO.csv,Data/data_not_bias/LO.csv,Data/data_not_bias/R.csv,Data/data_not_bias/CERN.csv,Data/data_not_bias/MET.csv,Data/data_not_bias/ARG.csv,Data/data_not_bias/CHK.csv,Data/data_not_bias/FTV.csv,Data/data_not_bias/DLR.csv,Data/data_not_bias/XRAY.csv,Data/data_not_bias/SCG.csv,Data/data_not_bias/FAST.csv,Data/data_not_bias/FOSL.csv,Data/data_not_bias/TJX.csv,Data/data_not_bias/SNA.csv,Data/data_not_bias/MPC.csv,Data/data_not_bias/D.csv,Data/data_not_bias/CA.csv,Data/data_not_bias/MRK.csv,Data/data_not_bias/S.csv,Data/data_not_bias/STX.csv,Data/data_not_bias/NOC.csv,Data/data_not_bias/BXP.csv,Data/data_not_bias/KHC.csv,Data/data_not_bias/IPG.csv,Data/data_not_bias/UNP.csv,Data/data_not_bias/ALLE.csv,Data/data_not_bias/ABBV.csv,Data/data_not_bias/ORCL.csv,Data/data_not_bias/ECL.csv,Data/data_not_bias/RAI.csv,Data/data_not_bias/PLL.csv,Data/data_not_bias/ETR.csv,Data/data_not_bias/EBAY.csv,Data/data_not_bias/GME.csv,Data/data_not_bias/SBUX.csv,Data/data_not_bias/IR.csv,Data/data_not_bias/AMT.csv,Data/data_not_bias/INTU.csv,Data/data_not_bias/DRE.csv,Data/data_not_bias/JEC.csv,Data/data_not_bias/CMA.csv,Data/data_not_bias/PG.csv,Data/data_not_bias/CAT.csv,Data/data_not_bias/COH.csv,Data/data_not_bias/MCD.csv,Data/data_not_bias/MNST.csv,Data/data_not_bias/HCBK.csv,Data/data_not_bias/AMZN.csv,Data/data_not_bias/MWV.csv,Data/data_not_bias/MTZ.csv,Data/data_not_bias/INTC.csv,Data/data_not_bias/TWC.csv,Data/data_not_bias/LSI.csv,Data/data_not_bias/PNR.csv,Data/data_not_bias/GLW.csv,Data/data_not_bias/BDX.csv,Data/data_not_bias/KMI.csv,Data/data_not_bias/PWR.csv,Data/data_not_bias/WPG.csv,Data/data_not_bias/APTV.csv,Data/data_not_bias/EXR.csv,Data/data_not_bias/HOLX.csv,Data/data_not_bias/EXPD.csv,Data/data_not_bias/KORS.csv,Data/data_not_bias/ALD.csv,Data/data_not_bias/GM.csv,Data/data_not_bias/TXN.csv,Data/data_not_bias/VRSK.csv,Data/data_not_bias/SJM.csv,Data/data_not_bias/TMO.csv,Data/data_not_bias/OXY.csv,Data/data_not_bias/RL.csv
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000.0,-10000,-10000.0,-10000.0,-10000,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0
